Spanish,English
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,dear
lado,side
allá,there
entre,between
minutos,minutes
digo,I mean
algún,some
serio,serious
cuidado,Careful
pasó,passed
buenas,hello good
somos,we are
amor,love
puerta,door
ves,all
vaya,Oh
ah,ah
suerte,luck
eh,eh
rápido,fast
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,think
todavía,still
hermano,brother
debes,you must
casi,almost
forma,form
aqui,here
chico,chico
ok,ok
dicho,saying
nueva,new
sabía,knew
muchas,many
dentro,within
hice,I did
contra,against
auto,auto
camino,path
ayuda,aid
primera,first
hacia,toward
vi,we
miedo,fear
adiós,bye
primero,first
debería,ought
poder,can
niños,children
sería,I would be
historia,history
hey,hey
mientras,while
ciudad,city
dijiste,you said
espero,hope
cuánto,how much
esposa,wife
pronto,ready
chicos,guys
cualquier,any
viejo,old
debemos,must
deja,already
año,year
muerte,death
hablando,talking
manos,hands
da,and
loco,instead
problemas,problems
mano,thousand
guerra,war
semana,week
pasar,market
vale,OK
cuál,which
viene,he comes
volver,return
toma,take
caso,case
agua,water
haré,I will do
vete,OWN
entiendo,I understand
horas,hours
personas,people
capitán,captain
adelante,forward
niño,child
listo,list
noches,nights
buenos,good
iba,other
juntos,together
dame,dame
único,single
déjame,let me
cerca,about
otros,others
sigue,go on
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,i guess
manera,manner
quieren,they want
feliz,happy
significa,it means
sangre,blood
fin,END
bajo,low
llama,calls
venir,come
morir,die
importante,important
hiciste,did you
ojos,eyes
escucha,listen
entrar,to enter
ningún,none
corazón,heart
diablos,damn
necesitamos,we need
atrás,back
durante,during
dices,you say
nuestros,our
persona,person
abajo,below
dr,dr
hija,it is
dejar,leave
necesita,needs
llegar,arrive
hago,do
señora,lady
haya,this
suficiente,enough
doctor,doctor
gustaría,I would like
tierra,land
cara,method
siquiera,not even
genial,genial
cree,believes
supuesto,supposed
tomar,take
equipo,equipment
justo,fair
juego,game
ninguna,none
matar,the wife
cinco,five
dicen,they say
amo,amo
cuándo,when
pequeño,little
algunos,some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,many
hubiera,had
segundo,second
aunque,although
pueda,may
dime,dime
igual,equal
comida,food
ay,is
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come
creer,believe
realidad,reality
saben,per
puta,exit
deberías,you should
pregunta,ask
fui,I went
cuatro,four
sra,sra
primer,first
trabajar,work
e,and
hagas,do
alto,high
maldita,damn
comer,eat
número,number
dar,but
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,were
difícil,difficult
vivir,live
paso,passed
malo,place
estabas,you were
vivo,vivo
haga,do
queda,is left over
hijos,children
mayor,mayor
fiesta,fiesta
hacen,do
medio,half
algunas,some
basta,it just is
arma,arm
vino,wine
meses,months
cuarto,room
éste,this
escuela,school
esté,this
dólares,dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,don't worry
luz,light
eran,were
carajo,damn
final,final
lista,list
trata,treats
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,could
bastante,quite
seguridad,security
pasando,passing
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,died
tampoco,neither
sola,alone
estuvo,was
verte,green
iré,I will go
tenido,had
culpa,blame
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,parents
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,but
jugar,play
pensando,thinking
esperar,wait
sabemos,we know
recuerdo,memory
par,about
joven,young
seguir,follow
pueblo,town
tenga,have
caballeros,gentlemen
idiota,idiot
dio,part
minuto,minute
bebé,baby
única,unique
lejos,far
nuestras,our
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,say
palabra,word
correcto,correct
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,last
ésta,this
diga,say
podrías,you could
pequeña,small
cállate,be quiet
trato,deal
rey,rey
sucede,happens
muchachos,boys
jamás,never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,Of
cambio,change
falta,lack
hospital,hospital
lleva,carry
presidente,president
mil,thousand
gusto,want
conoces,you know
diciendo,saying
os,you
ido,eye
general,general
extraño,strange
semanas,weeks
coche,coach
peor,worse
mucha,a lot
disculpe,excuse me
diré,I will say
anoche,last night
perder,lose
vámonos,let's go
nave,nave
cielo,sky
habrá,there will be
orden,order
segura,safe
querida,dear
niña,little girl
increíble,incredible
además,besides
deben,must
libro,book
calle,street
café,café
piensas,you think
hacemos,we do
especial,special
queremos,we want
irme,leave
perfecto,perfect
buscar,look for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,call
mala,had
detrás,behind
viste,showed
dile,language
grandes,large
recuerdas,Do you remember?
real,real
estaban,were
mía,tight
frente,forehead
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,killer
sueño,dream
quisiera,I'd like
habría,there would be
hará,will
viaje,journey
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,I'm sorry
muchacho,young guy
avión,plane
ropa,clothes
fuerza,force
llamado,called
oído,ear
dado,given
encima,on
negro,negro
usar,to use
información,information
uds,uds
preguntas,questions
tuvo,had
secreto,secret
vuelve,comes back
miren,Mira
quieras,you want
haría,would
acaba,ends
otras,other
incluso,even
sientes,you feel
deberíamos,we should
haz,haz
decirte,tell you
boca,boca
dolor,pain
baño,bathroom
adentro,inside
profesor,teacher
habitación,room
daño,damage
tuyo,dry
seas,seas
noticias,news
demás,and
querido,darling
duro,stand
poner,put
prueba,proof
mire,what for
tonto,tonto
campo,field
siendo,being
diez,ten
ése,that
tranquilo,quiet
asunto,affair
acabó,just
quédate,stay
derecho,right
placer,placer
recuerda,remember
estuve,I have been
tratando,treating
ejército,army
futuro,future
llevar,carry
compañía,company
venido,come
listos,ready
haremos,we will
sitio,place
verlo,see it
puesto,position
atención,attention
sino,but
cambiar,change
error,error
blanco,white
raro,bottom
palabras,words
llegó,arrive
sal,shall
pase,pass
mente,mind
sistema,system
película,movie
anda,you
ello,it
negocio,business
novia,bride
permiso,permission
creí,I believed
suena,sounds
ocurre,occurs
oficial,official
espere,hope
aire,air
mató,killed
regresar,go back
vio,saw
hazlo,do it
trasero,rear
grupo,group
entendido,understood
señorita,Miss
música,music
perra,bitch
conoce,meet
empezar,begin
siente,feels
acabo,just
estúpido,idiot
diferente,different
traje,lasts
modo,way
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,eras
pena,pity
largo,long
entra,enters
piso,floor
foto,Photo
dijeron,they said
médico,doctor
accidente,accident
fuiste,you went
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,gain
normal,normal
segundos,seconds
vive,lives
mitad,half
quiera,want
tras,after
decirle,tell
lindo,beautiful
funciona,it works
programa,program
vine,vine
abre,opens
sean,sean
pagar,pay
fotos,photos
centro,center
supone,assumes
basura,garbage
situación,situation
mejores,best
vienen,they are coming
encanta,loves
marido,husband
personal,personal
maestro,maestro
hambre,hunger
ataque,attack
culo,ass
dale,dale
pie,at
conseguir,achieve
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,answer
tipos,types
sentir,to feel
tenías,you had
pude,could
darle,give it
voz,voice
amiga,amiga
gustan,gustan
vista,vista
salvo,saved
loca,loca
hotel,hotel
hicieron,they did
ten,ten
temo,topic
señal,sign
pelo,for the
llevo,he took
ayer,yesterday
das,the
nena,baby
servicio,service
tren,train
bonito,beautiful
mes,we
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautiful
honor,honor
simplemente,simply
llamas,llamas
tengas,have
corre,corre
baja,low
sol,sun
siéntate,sit down
dan,And
humano,human
divertido,fun
sexo,sex
vuelto,turned
peligro,danger
mesa,mesa
siguiente,following
hablo,speak
disculpa,sorry
decirme,tell me
caja,box
negocios,business
misión,mission
silencio,silence
sale,sale
llegado,arrived
estaría,would be
regreso,return
media,media
estan,they are
propio,own
oro,air
enseguida,immediately
linda,linda
prometo,I promise
esposo,husband
norte,north
hubo,was
juro,law
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,finish
tendré,I will have
completamente,completely
cita,ideals
siete,seven
cumpleaños,birthday
abogado,lawyer
alrededor,around
cerebro,brain
porqué,because
llave,key
santo,holy
hermoso,beautiful
necesario,necessary
edificio,building
irnos,leave
aun,still
tendremos,we will have
vayas,go
doy,give
trae,brings
salió,left
ley,law
ahi,yes
verdadero,TRUE
pelea,fight
banco,bank
terrible,terrible
calma,calm
cena,cena
daré,I will give
gobierno,government
comprar,buy
creen,they believe
sargento,sergeant
destino,destination
existe,there is
hacía,toward
novio,boyfriend
sala,room
través,through
regalo,gift
iglesia,church
decía,said
cualquiera,any
excelente,excellent
esperen,they wait
deseo,desire
alma,alma
diablo,diablo
deje,happening
cuántos,how many
espada,sword
estábamos,we were
carne,meat
maravilloso,marvelous
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,freedom
jesús,Jesus
ocurrió,occurred
veré,I'll see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,pies
club,club
terminado,finished
infierno,hell
creía,I believed
luna,officer
salvar,save
carta,paper
estés,you are
cielos,Heavens
teniente,lieutenant
encuentra,finds
veamos,Let's see
quise,I wanted
escúchame,Listen to me
necesitan,They need
ambos,both
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,evidence
querías,you wanted
abuelo,grandfather
totalmente,fully
mirando,looking
vayan,go
carrera,career
